,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
1408,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,2307.0,0,1.0,581.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1409,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,2472.0,1,1.0,688.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1411,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,2615.0,1,1.0,782.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1412,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,3274.0,2,2.0,1033.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1413,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,3460.0,2,2.0,1059.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1414,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,3885.0,2,2.0,1125.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1415,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,5395.0,3,2.0,1427.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1418,https://www.apartments.com/boathouse-point-apartments-oakland-ca/qmn1pgy/,Boathouse Point Apartments,Oakland,2295.0,2,1.0,700.0,97.0,1,12,0,0,0,0,3,0,0,1,0,0,0,0
1419,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2310.0,0,1.0,436.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1420,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2385.0,0,1.0,524.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
